ts_recv,ts_event,rtype,publisher_id,instrument_id,raw_symbol,security_update_action,instrument_class,min_price_increment,display_factor,expiration,activation,high_limit_price,low_limit_price,max_price_variation,unit_of_measure_qty,min_price_increment_amount,price_ratio,inst_attrib_value,underlying_id,raw_instrument_id,market_depth_implied,market_depth,market_segment_id,max_trade_vol,min_lot_size,min_lot_size_block,min_lot_size_round_lot,min_trade_vol,contract_multiplier,decay_quantity,original_contract_size,appl_id,maturity_year,decay_start_date,channel_id,currency,settl_currency,secsubtype,group,exchange,asset,cfi,security_type,unit_of_measure,underlying,strike_price_currency,strike_price,match_algorithm,main_fraction,price_display_format,sub_fraction,underlying_product,maturity_month,maturity_day,maturity_week,user_defined_instrument,contract_multiplier_unit,flow_schedule_type,tick_rule,leg_count,leg_index,leg_instrument_id,leg_raw_symbol,leg_instrument_class,leg_side,leg_price,leg_delta,leg_ratio_price_numerator,leg_ratio_price_denominator,leg_ratio_qty_numerator,leg_ratio_qty_denominator,leg_underlying_id,symbol
2022-12-01T00:20:47.927851683Z,2022-12-01T00:20:47.901388911Z,19,1,608206,ZLN6,A,F,0.010000000,0.010000000,2026-07-14T17:01:00.000000000Z,2022-12-14T22:30:00.000000000Z,,,0.790000000,60000.000000000,0.060000000,,270415,0,608206,0,10,70,1000,0,0,0,1,2147483647,2147483647,2147483647,340,2026,65535,15,USD,,,ZS,XCBT,ZL,FCAXSX,FUT,LBS,,,,K,255,255,255,2,7,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZLN6
2022-12-02T00:00:00.000000000Z,2022-12-01T00:20:47.901388911Z,19,1,608206,ZLN6,A,F,0.010000000,0.010000000,2026-07-14T17:01:00.000000000Z,2022-12-14T22:30:00.000000000Z,,,0.790000000,60000.000000000,0.060000000,,270415,0,608206,0,10,70,1000,0,0,0,1,2147483647,2147483647,2147483647,340,2026,65535,15,USD,,,ZS,XCBT,ZL,FCAXSX,FUT,LBS,,,,K,255,255,255,2,7,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZLN6
2022-12-04T17:04:29.876963785Z,2022-12-04T17:04:29.804000000Z,19,1,608206,ZLN6,A,F,0.010000000,0.010000000,2026-07-14T17:01:00.000000000Z,2022-12-14T22:30:00.000000000Z,,0.010000000,0.790000000,60000.000000000,0.060000000,,794703,0,608206,2,10,70,1000,0,0,0,1,2147483647,2147483647,2147483647,340,2026,65535,15,USD,,,ZS,XCBT,ZL,FCAXSX,FUT,LBS,,,,K,255,255,255,2,7,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZLN6
2022-12-05T00:00:00.000000000Z,2022-12-04T17:04:29.804000000Z,19,1,608206,ZLN6,A,F,0.010000000,0.010000000,2026-07-14T17:01:00.000000000Z,2022-12-14T22:30:00.000000000Z,,0.010000000,0.790000000,60000.000000000,0.060000000,,794703,0,608206,2,10,70,1000,0,0,0,1,2147483647,2147483647,2147483647,340,2026,65535,15,USD,,,ZS,XCBT,ZL,FCAXSX,FUT,LBS,,,,K,255,255,255,2,7,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZLN6
2022-12-06T00:00:00.000000000Z,2022-12-04T17:04:29.804000000Z,19,1,608206,ZLN6,A,F,0.010000000,0.010000000,2026-07-14T17:01:00.000000000Z,2022-12-14T22:30:00.000000000Z,,0.010000000,0.790000000,60000.000000000,0.060000000,,794703,0,608206,2,10,70,1000,0,0,0,1,2147483647,2147483647,2147483647,340,2026,65535,15,USD,,,ZS,XCBT,ZL,FCAXSX,FUT,LBS,,,,K,255,255,255,2,7,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZLN6
2022-12-07T00:00:00.000000000Z,2022-12-04T17:04:29.804000000Z,19,1,608206,ZLN6,A,F,0.010000000,0.010000000,2026-07-14T17:01:00.000000000Z,2022-12-14T22:30:00.000000000Z,,0.010000000,0.790000000,60000.000000000,0.060000000,,794703,0,608206,2,10,70,1000,0,0,0,1,2147483647,2147483647,2147483647,340,2026,65535,15,USD,,,ZS,XCBT,ZL,FCAXSX,FUT,LBS,,,,K,255,255,255,2,7,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZLN6
2022-12-08T00:00:00.000000000Z,2022-12-04T17:04:29.804000000Z,19,1,608206,ZLN6,A,F,0.010000000,0.010000000,2026-07-14T17:01:00.000000000Z,2022-12-14T22:30:00.000000000Z,,0.010000000,0.790000000,60000.000000000,0.060000000,,794703,0,608206,2,10,70,1000,0,0,0,1,2147483647,2147483647,2147483647,340,2026,65535,15,USD,,,ZS,XCBT,ZL,FCAXSX,FUT,LBS,,,,K,255,255,255,2,7,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZLN6
2022-12-09T00:00:00.000000000Z,2022-12-04T17:04:29.804000000Z,19,1,608206,ZLN6,A,F,0.010000000,0.010000000,2026-07-14T17:01:00.000000000Z,2022-12-14T22:30:00.000000000Z,,0.010000000,0.790000000,60000.000000000,0.060000000,,794703,0,608206,2,10,70,1000,0,0,0,1,2147483647,2147483647,2147483647,340,2026,65535,15,USD,,,ZS,XCBT,ZL,FCAXSX,FUT,LBS,,,,K,255,255,255,2,7,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZLN6
2022-12-11T17:03:29.374394272Z,2022-12-11T17:03:29.296000000Z,19,1,608206,ZLN6,A,F,0.010000000,0.010000000,2026-07-14T17:01:00.000000000Z,2022-12-14T22:30:00.000000000Z,,0.010000000,0.790000000,60000.000000000,0.060000000,,794703,0,608206,2,10,70,1000,0,0,0,1,2147483647,2147483647,2147483647,340,2026,65535,15,USD,,,ZS,XCBT,ZL,FCAXSX,FUT,LBS,,,,K,255,255,255,2,7,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZLN6
2022-12-12T00:00:00.000000000Z,2022-12-11T17:03:29.296000000Z,19,1,608206,ZLN6,A,F,0.010000000,0.010000000,2026-07-14T17:01:00.000000000Z,2022-12-14T22:30:00.000000000Z,,0.010000000,0.790000000,60000.000000000,0.060000000,,794703,0,608206,2,10,70,1000,0,0,0,1,2147483647,2147483647,2147483647,340,2026,65535,15,USD,,,ZS,XCBT,ZL,FCAXSX,FUT,LBS,,,,K,255,255,255,2,7,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZLN6
