ts_recv,ts_event,rtype,publisher_id,instrument_id,raw_symbol,security_update_action,instrument_class,min_price_increment,display_factor,expiration,activation,high_limit_price,low_limit_price,max_price_variation,unit_of_measure_qty,min_price_increment_amount,price_ratio,inst_attrib_value,underlying_id,raw_instrument_id,market_depth_implied,market_depth,market_segment_id,max_trade_vol,min_lot_size,min_lot_size_block,min_lot_size_round_lot,min_trade_vol,contract_multiplier,decay_quantity,original_contract_size,appl_id,maturity_year,decay_start_date,channel_id,currency,settl_currency,secsubtype,group,exchange,asset,cfi,security_type,unit_of_measure,underlying,strike_price_currency,strike_price,match_algorithm,main_fraction,price_display_format,sub_fraction,underlying_product,maturity_month,maturity_day,maturity_week,user_defined_instrument,contract_multiplier_unit,flow_schedule_type,tick_rule,leg_count,leg_index,leg_instrument_id,leg_raw_symbol,leg_instrument_class,leg_side,leg_price,leg_delta,leg_ratio_price_numerator,leg_ratio_price_denominator,leg_ratio_qty_numerator,leg_ratio_qty_denominator,leg_underlying_id,symbol
2025-09-28T11:28:37.932372953Z,2025-09-28T11:28:37.749580507Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-09-29T00:00:00.000000000Z,2025-09-28T11:28:37.749580507Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-09-30T00:00:00.000000000Z,2025-09-28T11:28:37.749580507Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-10-01T00:00:00.000000000Z,2025-09-28T11:28:37.749580507Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-10-02T00:00:00.000000000Z,2025-09-28T11:28:37.749580507Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-10-03T00:00:00.000000000Z,2025-09-28T11:28:37.749580507Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-10-05T11:11:14.293769695Z,2025-10-05T11:11:14.122924119Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-10-06T00:00:00.000000000Z,2025-10-05T11:11:14.122924119Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-10-07T00:00:00.000000000Z,2025-10-05T11:11:14.122924119Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-10-08T00:00:00.000000000Z,2025-10-05T11:11:14.122924119Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-10-09T00:00:00.000000000Z,2025-10-05T11:11:14.122924119Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-10-10T00:00:00.000000000Z,2025-10-05T11:11:14.122924119Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-10-12T11:11:14.309946065Z,2025-10-12T11:11:14.132737475Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-10-13T00:00:00.000000000Z,2025-10-12T11:11:14.132737475Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-10-14T00:00:00.000000000Z,2025-10-12T11:11:14.132737475Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-10-15T00:00:00.000000000Z,2025-10-12T11:11:14.132737475Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-10-16T00:00:00.000000000Z,2025-10-12T11:11:14.132737475Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-10-17T00:00:00.000000000Z,2025-10-12T11:11:14.132737475Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-10-19T11:11:12.740178655Z,2025-10-19T11:11:12.569339829Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-10-20T00:00:00.000000000Z,2025-10-19T11:11:12.569339829Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-10-21T00:00:00.000000000Z,2025-10-19T11:11:12.569339829Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-10-22T00:00:00.000000000Z,2025-10-19T11:11:12.569339829Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-10-23T00:00:00.000000000Z,2025-10-19T11:11:12.569339829Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-10-24T00:00:00.000000000Z,2025-10-19T11:11:12.569339829Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-10-26T11:11:13.666029301Z,2025-10-26T11:11:13.494519003Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-10-27T00:00:00.000000000Z,2025-10-26T11:11:13.494519003Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-10-28T00:00:00.000000000Z,2025-10-26T11:11:13.494519003Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-10-29T00:00:00.000000000Z,2025-10-26T11:11:13.494519003Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-10-30T00:00:00.000000000Z,2025-10-26T11:11:13.494519003Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-10-31T00:00:00.000000000Z,2025-10-26T11:11:13.494519003Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-11-02T12:11:12.311475007Z,2025-11-02T12:11:12.136417011Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-11-03T00:00:00.000000000Z,2025-11-02T12:11:12.136417011Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-11-04T00:00:00.000000000Z,2025-11-02T12:11:12.136417011Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-11-05T00:00:00.000000000Z,2025-11-02T12:11:12.136417011Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-11-06T00:00:00.000000000Z,2025-11-02T12:11:12.136417011Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-11-07T00:00:00.000000000Z,2025-11-02T12:11:12.136417011Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
2025-11-09T12:11:13.273541030Z,2025-11-09T12:11:13.083939795Z,19,1,42370722,ZTM6,A,F,0.003906250,1.000000000,2026-06-30T17:01:00.000000000Z,2025-09-30T21:30:00.000000000Z,,0.003906250,0.125000000,200000.000000000,0.000200000,,796751,0,42370722,2,10,84,19999,0,0,0,1,2147483647,2147483647,2147483647,344,2026,65535,19,USD,,,ZT,XCBT,ZT,FFDXSX,FUT,USD,,,,K,32,3,8,14,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,ZTM6
