ts_recv,ts_event,rtype,publisher_id,instrument_id,raw_symbol,security_update_action,instrument_class,min_price_increment,display_factor,expiration,activation,high_limit_price,low_limit_price,max_price_variation,unit_of_measure_qty,min_price_increment_amount,price_ratio,inst_attrib_value,underlying_id,raw_instrument_id,market_depth_implied,market_depth,market_segment_id,max_trade_vol,min_lot_size,min_lot_size_block,min_lot_size_round_lot,min_trade_vol,contract_multiplier,decay_quantity,original_contract_size,appl_id,maturity_year,decay_start_date,channel_id,currency,settl_currency,secsubtype,group,exchange,asset,cfi,security_type,unit_of_measure,underlying,strike_price_currency,strike_price,match_algorithm,main_fraction,price_display_format,sub_fraction,underlying_product,maturity_month,maturity_day,maturity_week,user_defined_instrument,contract_multiplier_unit,flow_schedule_type,tick_rule,leg_count,leg_index,leg_instrument_id,leg_raw_symbol,leg_instrument_class,leg_side,leg_price,leg_delta,leg_ratio_price_numerator,leg_ratio_price_denominator,leg_ratio_qty_numerator,leg_ratio_qty_denominator,leg_underlying_id,symbol
2024-12-29T12:03:29.520487719Z,2024-12-29T12:03:29.386000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,,,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2024-12-30T00:00:00.000000000Z,2024-12-29T12:03:29.386000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,,,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2024-12-31T00:00:00.000000000Z,2024-12-29T12:03:29.386000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,,,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-01-01T00:00:00.000000000Z,2024-12-29T12:03:29.386000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,,,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-01-02T00:00:00.000000000Z,2024-12-29T12:03:29.386000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,,,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-01-03T00:00:00.000000000Z,2024-12-29T12:03:29.386000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,,,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-01-05T12:03:28.765707399Z,2025-01-05T12:03:28.624000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,190.200000000,177.200000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-01-06T00:00:00.000000000Z,2025-01-05T12:03:28.624000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,190.200000000,177.200000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-01-07T00:00:00.000000000Z,2025-01-05T12:03:28.624000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,190.200000000,177.200000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-01-08T00:00:00.000000000Z,2025-01-05T12:03:28.624000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,190.200000000,177.200000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-01-09T00:00:00.000000000Z,2025-01-05T12:03:28.624000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,190.200000000,177.200000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-01-10T00:00:00.000000000Z,2025-01-05T12:03:28.624000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,190.200000000,177.200000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-01-12T12:03:28.862944517Z,2025-01-12T12:03:28.726000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,192.575000000,179.575000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-01-13T00:00:00.000000000Z,2025-01-12T12:03:28.726000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,192.575000000,179.575000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-01-14T00:00:00.000000000Z,2025-01-12T12:03:28.726000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,192.575000000,179.575000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-01-15T00:00:00.000000000Z,2025-01-12T12:03:28.726000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,192.575000000,179.575000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-01-16T00:00:00.000000000Z,2025-01-12T12:03:28.726000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,192.575000000,179.575000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-01-17T00:00:00.000000000Z,2025-01-12T12:03:28.726000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,192.575000000,179.575000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-01-19T12:03:29.318942999Z,2025-01-19T12:03:29.184000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,191.425000000,178.425000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-01-20T00:00:00.000000000Z,2025-01-19T12:03:29.184000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,191.425000000,178.425000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-01-21T00:00:00.000000000Z,2025-01-19T12:03:29.184000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,191.425000000,178.425000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-01-22T00:00:00.000000000Z,2025-01-19T12:03:29.184000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,191.425000000,178.425000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-01-23T00:00:00.000000000Z,2025-01-19T12:03:29.184000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,191.425000000,178.425000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-01-24T00:00:00.000000000Z,2025-01-19T12:03:29.184000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,191.425000000,178.425000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-01-26T12:03:29.330340491Z,2025-01-26T12:03:29.192000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,194.050000000,181.050000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-01-27T00:00:00.000000000Z,2025-01-26T12:03:29.192000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,194.050000000,181.050000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-01-28T00:00:00.000000000Z,2025-01-26T12:03:29.192000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,194.050000000,181.050000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-01-29T00:00:00.000000000Z,2025-01-26T12:03:29.192000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,194.050000000,181.050000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-01-30T00:00:00.000000000Z,2025-01-26T12:03:29.192000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,194.050000000,181.050000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-01-31T00:00:00.000000000Z,2025-01-26T12:03:29.192000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,194.050000000,181.050000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-02-02T13:43:18.362227793Z,2025-02-02T13:43:18.225000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,194.075000000,181.075000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-02-03T00:00:00.000000000Z,2025-02-02T13:43:18.225000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,194.075000000,181.075000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-02-04T00:00:00.000000000Z,2025-02-02T13:43:18.225000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,194.075000000,181.075000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-02-05T00:00:00.000000000Z,2025-02-02T13:43:18.225000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,194.075000000,181.075000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-02-06T00:00:00.000000000Z,2025-02-02T13:43:18.225000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,194.075000000,181.075000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-02-07T00:00:00.000000000Z,2025-02-02T13:43:18.225000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,194.075000000,181.075000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-02-09T12:03:29.041110145Z,2025-02-09T12:03:28.898000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,190.900000000,177.900000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
2025-02-10T00:00:00.000000000Z,2025-02-09T12:03:28.898000000Z,19,1,42290645,LEM6,A,F,0.025000000,0.001000000,2026-06-30T17:00:00.000000000Z,2024-12-31T22:30:00.000000000Z,190.900000000,177.900000000,0.975000000,40000.000000000,0.010000000,,794699,0,42290645,2,5,70,500,0,0,0,1,2147483647,2147483647,2147483647,316,2026,65535,6,USD,,,LE,XCME,LE,FCAXSX,FUT,LBS,,,,K,255,255,255,2,6,255,255,N,127,127,255,0,0,0,,,N,,,0,0,0,0,0,LEM6
